,UUID,Graph,label,source,Cookies,secure,session,httponly,httponly session,no httponly session
180,ae97b335-f10c-40a6-8f12-66e8159dbcfa,True,1.0,OP,0,,,,,
181,57a831fd-7888-45e1-bb86-b178c06d378e,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
182,683d38e3-3dbb-4a20-b321-17f62a18b6c1,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
183,0a85daa3-14ac-47ad-923d-a3cc270d3aad,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
184,e22475ef-74cb-4042-8a2f-a176a33358b2,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
185,839fcfdb-676b-4be7-959f-e9216bfaa838,True,1.0,OP,8,0.0,0.0,0.0,0.0,0.0
186,76441e5a-db26-466c-9ba3-a64b84583c49,True,1.0,OP,0,,,,,
187,9fc45b0b-ffe3-47a7-8a73-37aa4be7ebca,False,1.0,OP,,,,,,
188,9138dfd2-6af3-4f83-a8c0-7732efa6d8ba,True,1.0,OP,0,,,,,
189,f3f04bd6-e86f-4e8e-b6bf-43dc0030d182,True,1.0,OP,0,,,,,
190,1fd36971-f5fa-4165-83c3-bb7bf20c1f8d,True,1.0,OP,0,,,,,
191,8a25508e-b5b8-41c1-babc-8ece3feff2ce,True,1.0,OP,4,1.0,0.0,1.0,0.0,0.0
192,652a1626-216d-4655-bd95-611c4e176dc6,True,1.0,OP,0,,,,,
193,1fb2a6c4-b506-43f8-9efc-f7ec9fafc492,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
194,02826cbe-1075-48f7-a8b5-ccd125f652f7,True,1.0,OP,0,,,,,
195,5cff82e3-3111-41ca-b73b-70e83f435e49,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
196,af727772-1e93-44e5-84f4-16dba89a504b,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
197,d5deb9b4-678e-4dd8-9f8b-7f3351a60410,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
198,f9a00f76-a652-48d5-bcf1-5903e4c827d7,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
199,106efbba-7b3a-4bbe-b826-4acbfd0054e5,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
200,12dcae26-52bf-41ef-94a8-db04358165af,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
201,b667cb96-3a40-44e9-800c-74a063c2b3be,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
202,5e6f207d-bfc0-4792-99ba-c9ad33994c17,False,1.0,OP,,,,,,
203,9e709cd5-56f8-47f1-8c1d-5b5e49463333,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
204,8f5fa79a-f154-47f7-9fc4-61cf89eb83b2,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
205,61c74d04-8f3a-47c4-bc2e-ecc7cf5fd53a,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
206,f46c1dae-99b4-4d9c-88e3-3b96e6451bae,True,1.0,OP,2,1.0,1.0,0.0,0.0,1.0
207,d422937b-d309-4a64-92ad-28905b9cec30,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
208,d2b13510-a5f4-4443-a785-7d12a542156c,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
209,1ad67ef0-bf1e-44d5-83df-bff8174040ae,False,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
210,fd3a0ee1-9539-46e0-9bd0-2a6201fa1c69,True,1.0,OP,0,,,,,
211,c4d497ff-29d9-46b8-b449-b84c80257126,True,1.0,OP,0,,,,,
212,fd59b856-4127-438c-aba5-b03508b947ed,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
213,f490339e-d7dc-4cf1-b968-3cf8037f7b1b,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
214,2cd297ae-3208-442e-ac58-a57c79be5188,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
215,47ebddad-a131-48e4-b278-e4dcc47fffe3,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
216,01d26917-ef1c-474f-bf85-b423df6bb373,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
217,94146dde-443d-470a-a127-35008cbdada0,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
218,2764ad31-20b1-4141-845e-ec01997f76ec,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
219,20189ec3-a80e-4068-8f21-9a799e4569bf,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
220,62373647-dde0-4923-97ba-51321db3bc84,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
221,520dd3d2-8072-44a9-8294-2955089811a0,False,1.0,OP,,,,,,
222,0ab52da3-d7a0-4767-bba4-2182f6e64001,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
223,948a6f6e-7a1c-4d02-8dbc-64092c136b66,True,1.0,OP,0,,,,,
224,fa68f5c1-180f-44c6-9704-3a57cab5fe44,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
225,5ad74dc4-969c-46b0-92f5-e0d3ba21af89,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
226,1e78283c-677d-401c-9ef7-558b8ef8dff5,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
227,eee5263c-0291-44bf-9416-f88d52969934,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
228,fe4efcf1-2301-4a15-b5ff-07185c41c4ca,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
229,40980a37-d927-4bce-9cda-67dcf3d05b90,False,1.0,OP,,,,,,
230,c818060d-3cc8-441a-a479-444e16dad738,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
231,b2d2bf5b-bda4-405b-90a3-3df97003a6a8,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
232,9ea0e050-7355-4779-b764-3322ec175bd0,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
233,b517f2f5-1735-4487-9dfb-f19382bda254,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
234,028b3699-3268-4b82-8160-90e8cbd84c98,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
235,cc462a7e-e9f8-4998-b078-875056283bef,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
236,8faacb07-000f-4534-88c8-48deadfed49f,True,1.0,OP,8,8.0,4.0,6.0,24.0,0.0
237,cde32f43-2dbc-4281-86b4-d80e436144fa,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
238,39070694-f4ee-4102-b50b-244b56904ac9,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
239,783bcb38-27f6-4139-9827-33f753e2b6d0,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
240,ad2ac0c2-9192-435a-beac-6afc2be5ade5,True,1.0,OP,8,8.0,4.0,6.0,24.0,0.0
241,650daf18-fdfa-4e40-b4b3-6c2082bd52a3,True,1.0,OP,0,,,,,
242,6b060a09-382e-4324-bcd9-ce56f6426d90,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
243,f54cbabd-e0b9-4417-9c17-4f7450a48eb4,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
